ID,SMILES
CHEMBL4516659,NC(=O)CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4516553,O=C(CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1)NCCCC[C@@H]1NC(=O)CNC1=O
CHEMBL449883,CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)O
CHEMBL447677,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)O
CHEMBL4476189,Cc1cc(C)nc(SCC(=O)Nc2ccc(Sc3ccccc3)cc2)n1
CHEMBL4473932,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1ccc(Br)cn1
CHEMBL4472024,CC(C)(C)OC(=O)NCCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4471909,C[C@H](NC(=O)[C@H](CCCCNC(=O)CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1)NC(=O)OCc1ccccc1)C(N)=O
CHEMBL4471397,CC(C)(C)OC(=O)NCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4470614,CCN(CC)C(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4467058,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4466240,CCCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(O)c1
CHEMBL4465910,C[C@H](NC(=O)[C@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccc(OCc3ccccc3)cc2)cc1)NC(=O)OCc1ccccc1)C(N)=O
