,ID,SMILES,Model 1: SIRT2 inhibitory activity,"Probability of Model 1 ""Yes"" class prediction"
197,108782,COc1ccccc1NN=C1C(=O)N(c2ccccc2)N=C1c1ccccc1,No,0.32728684983688855
198,108783,Cc1ccc2nc(C(C#N)=Cc3cc([N+](=O)[O-])ccc3O)[nH]c2c1,No,0.396104859920306
199,108784,Cc1[nH]n(-c2nc(-c3ccc(Br)cc3)cs2)c(=O)c1N=Nc1cccc([N+](=O)[O-])c1C,No,0.458245818800066
200,108785,O=C1C(=NNc2ccc([N+](=O)[O-])cc2)C(c2ccccc2)=NN1c1ccccc1,No,0.2682806663848846
201,108787,CN1CCc2c(sc3c2C(=O)NC(c2ccc(-c4cccc(Cl)c4Cl)o2)N3)C1,No,0.4869291869267494
202,108788,COc1cc([N+](=O)[O-])ccc1N=Nc1c(C)[nH]n(-c2nc(-c3ccc(Cl)cc3)cs2)c1=O,No,0.4370949788077879
203,108789,COc1ccc(CNCc2ccccc2[N+](=O)[O-])cc1,No,0.29099113147442235
204,108790,O=C(c1ccccc1)c1ccc(-c2[nH]c(-c3cccc(Cl)c3)nc2-c2ccccc2)cc1,No,0.3670305448037568
205,108791,c1ccc(Oc2ccc(-c3nc(-c4cccc5ccccc45)[nH]c3-c3ccccc3)cc2)cc1,No,0.3828563235589116
206,108792,CC(=O)Nc1n[nH]c(SCc2ccc(C)cc2)n1,No,0.41831984840979947
207,108793,O=C1CC(N2CCN(C(c3ccccc3)c3ccccc3)CC2)C(=O)N1c1ccc(I)cc1,No,0.4832243369249279
208,108794,COc1ccc(-c2csc(-n3[nH]c(C)c(N=Nc4cc(C(F)(F)F)ccc4Cl)c3=O)n2)cc1,No,0.48177915775315633
209,108795,c1cc2c(cc1CNc1nnn[nH]1)OCO2,No,0.28203734620919685
210,108796,CCCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3c(Cl)cccc3Cl)C2C1,No,0.36626813315967827
211,108797,O=C(CN1CCN(c2ccccc2)CC1)Nc1c2c(nc3c1CCC3)CCCC2,No,0.2917758026703276
212,108798,COC(=O)c1ccccc1NS(=O)(=O)c1ccc(OC)cc1,No,0.31759264129438763
213,108799,CN1CCc2c(sc3c2C(=O)NC(c2ccc(C(C)(C)C)cc2)N3)C1,No,0.4204760842227978
214,108800,CCCCCCc1cc2cc(-c3nc4ccccc4[nH]3)/c(=N/c3ccccc3OC)oc2cc1O,No,0.44727002893541495
215,108801,CC1=NN(c2nc(-c3ccccc3)cs2)C(=O)C1=NNc1cc(C(F)(F)F)ccc1Cl,No,0.35223759142891226
216,108802,Cc1[nH]n(-c2nc(-c3ccc(Cl)cc3)cs2)c(=O)c1N=Nc1ccc(Cl)c(Cl)c1,No,0.4467072726091183
217,108803,O=C(c1ccccc1)c1cc(Cl)ccc1NN=C1C(=O)N(c2ccc([N+](=O)[O-])cc2)N=C1c1ccccc1,No,0.4137465158521754
